Mãvậttư,Tên Vật Tư,Model,Đơn vị KD,Ngành hàng,Nhóm hàng,Tồn đầu (inventory)
KG168C1,Tủ đông Gia đình kháng khuẩn 1 ngăn 1 cánh KG168C1,KG168C1,VU1,Ngành hàng điện lạnh,Nhóm tủ mát,0
KG498NC2,Tủ đông kháng khuẩn 2 ngăn 2 cánh KG320IC2,KG498NC2,VU1,Ngành hàng điện lạnh,Nhóm tủ mát,1
KG498S3,Tủ đông kháng khuẩn 3 ngăn 3 cánh sx tại nhà máy ( đông mềm - đông cứng - mát  ),KG498S3,VU1,Ngành hàng điện lạnh,Nhóm tủ mát,2
KGB47000100,Bàn cầu 2 khối KG6200,KG6200,DAN,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,3
KGB47000100,Bàn cầu 2 khối KG6200,KG6200,VU1,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,4
KGB47000200,Bàn cầu 2 khối KG6201,KG6201,DAN,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,5
KGB47000200,Bàn cầu 2 khối KG6201,KG6201,HCM,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,6
KGB47000200,Bàn cầu 2 khối KG6201,KG6201,MYA,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,7
KGB47000200,Bàn cầu 2 khối KG6201,KG6201,VU1,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,8
KGB47000300,Bàn cầu 1 khối KG6100,KG6100,DAN,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,9
KGB47000300,Bàn cầu 1 khối KG6100,KG6100,MYA,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,10
KGB47000300,Bàn cầu 1 khối KG6100,KG6100,VU1,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,11
KGB47000400,Bàn cầu 1 khối KG6101,KG6101,DAN,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,12
KGB47000400,Bàn cầu 1 khối KG6101,KG6101,HCM,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,13
KGB47000400,Bàn cầu 1 khối KG6101,KG6101,VU1,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,14
KGB47000500,Bàn cầu 1 khối KG6102,KG6102,DAN,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,15
KGB47000500,Bàn cầu 1 khối KG6102,KG6102,HCM,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,16
KGB47000500,Bàn cầu 1 khối KG6102,KG6102,MYA,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,17
KGB47000500,Bàn cầu 1 khối KG6102,KG6102,VU1,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,18
KGB47000600,Bàn cầu 1 khối KG6103,KG6103,DAN,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,19
KGB47000600,Bàn cầu 1 khối KG6103,KG6103,HCM,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,20
KGB47000600,Bàn cầu 1 khối KG6103,KG6103,MYA,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,21
KGB47000600,Bàn cầu 1 khối KG6103,KG6103,VU1,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,22
KGB47000700,Bàn cầu 1 khối KG6100N,KG6100N,DAN,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,23
KGB47000700,Bàn cầu 1 khối KG6100N,KG6100N,HCM,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,24
KGB47000700,Bàn cầu 1 khối KG6100N,KG6100N,VU1,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,25
KGB47000800,Bàn cầu 1 khối KG6101N,KG6101N,HCM,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,26
KGB47000800,Bàn cầu 1 khối KG6101N,KG6101N,VU1,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,27
KGB47000900,Bàn cầu 1 khối KG6107,KG6107,DAN,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,28
KGB47000900,Bàn cầu 1 khối KG6107,KG6107,HCM,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,29
KGB47000900,Bàn cầu 1 khối KG6107,KG6107,MYA,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,30
KGB47000900,Bàn cầu 1 khối KG6107,KG6107,VU1,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,31
KGB47001000,Bàn cầu 2 khối KG6202,KG6202,DAN,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,32
KGB47001000,Bàn cầu 2 khối KG6202,KG6202,VU1,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,33
KGB47001100,Bàn cầu 1 khối KG6104,KG6104,DAN,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,34
KGB47001100,Bàn cầu 1 khối KG6104,KG6104,HCM,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,35
KGB47001100,Bàn cầu 1 khối KG6104,KG6104,VU1,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,36
KGB47001200,Bàn cầu 1 khối KG6108,KG6108,DAN,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,37
KGB47001200,Bàn cầu 1 khối KG6108,KG6108,HCM,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,38
KGB47001200,Bàn cầu 1 khối KG6108,KG6108,VU1,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,39
KGB47001300,Bàn cầu 1 khối KG6105,KG6105,DAN,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,40
KGB47001300,Bàn cầu 1 khối KG6105,KG6105,HCM,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,41
KGB47001300,Bàn cầu 1 khối KG6105,KG6105,VU1,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,42
KGB47001400,Bàn cầu 1 khối KG6109,KG6109,DAN,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,43
KGB47001400,Bàn cầu 1 khối KG6109,KG6109,MYA,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,44
KGB47001400,Bàn cầu 1 khối KG6109,KG6109,VU1,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,45
KGB47001500,Bàn cầu 1 khối KG6116,KG6116,DAN,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,46
KGB47001500,Bàn cầu 1 khối KG6116,KG6116,HCM,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,47
KGB47001500,Bàn cầu 1 khối KG6116,KG6116,VU1,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,48
KGB47001600,Bàn cầu 1 khối KG6106,KG6106,DAN,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,49
KGB47001600,Bàn cầu 1 khối KG6106,KG6106,HCM,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,50
KGB47001600,Bàn cầu 1 khối KG6106,KG6106,VU1,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,51
KGB47001700,Bàn cầu 2 khối KG6201P,KG6201P,MYA,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,52
KGB47001800,Bàn cầu 2 khối KG6210,KG6210,DAN,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,53
KGB47001800,Bàn cầu 2 khối KG6210,KG6210,HCM,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,54
KGB47001800,Bàn cầu 2 khối KG6210,KG6210,VU1,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,55
KGB47001900,Bàn cầu 2 khối KG6211,KG6211,DAN,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,56
KGB47001900,Bàn cầu 2 khối KG6211,KG6211,VU1,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,57
KGB47002000,Bàn cầu 1 khối KG6110,KG6110,DAN,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,58
KGB47002000,Bàn cầu 1 khối KG6110,KG6110,VU1,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,59
KGB47002100,Bàn cầu 1 khối KG6130,KG6130,VU1,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,60
KGB47002200,Bàn cầu 1 khối KG6115,KG6115,HCM,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,61
KGB47002200,Bàn cầu 1 khối KG6115,KG6115,VU1,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,62
KGB47002300,Bàn cầu 1 khối KG6107P,KG6107P,MYA,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,63
KGB47002500,Bàn cầu 1 khối KG6104N,KG6104N,DAN,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,64
KGB47002500,Bàn cầu 1 khối KG6104N,KG6104N,HCM,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,65
KGB47002500,Bàn cầu 1 khối KG6104N,KG6104N,VU1,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,66
KGB47002700,Bàn cầu 1 khối KG6107N,KG6107N,DAN,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,67
KGB47002700,Bàn cầu 1 khối KG6107N,KG6107N,HCM,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,68
KGB47002700,Bàn cầu 1 khối KG6107N,KG6107N,VU1,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,69
KGB47002900,Bàn cầu 1 khối KG6120,KG6120,MYA,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,70
KGB47003000,Bàn cầu 1 khối KG6116N,KG6116N,DAN,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,71
KGB47003000,Bàn cầu 1 khối KG6116N,KG6116N,HCM,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,72
KGB47003000,Bàn cầu 1 khối KG6116N,KG6116N,VU1,Ngành hàng vật liệu xây dựng,Nhóm bàn cầu,73
KGB48000100,Chậu chân dài KG6303P,KG6303P,DAN,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,74
KGB48000100,Chậu chân dài KG6303P,KG6303P,HCM,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,75
KGB48000100,Chậu chân dài KG6303P,KG6303P,VU1,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,76
KGB48000200,Chậu chân dài KG6302P,KG6302P,DAN,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,77
KGB48000200,Chậu chân dài KG6302P,KG6302P,HCM,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,78
KGB48000200,Chậu chân dài KG6302P,KG6302P,MYA,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,79
KGB48000200,Chậu chân dài KG6302P,KG6302P,VU1,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,80
KGB48000201,Chậu chân dài KG6302P (thiếu chân),KGB48000201,DAN,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,81
KGB48000300,Chậu chân dài KG6300P,KG6300P,DAN,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,82
KGB48000300,Chậu chân dài KG6300P,KG6300P,MYA,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,83
KGB48000300,Chậu chân dài KG6300P,KG6300P,VU1,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,84
KGB48000400,Chậu treo tường KG6300,KG6300,DAN,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,85
